IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
GN Store Nord A/S,GN,0.03%
Gjensidige Forsikring ASA,GJF,0.03%
"SITC International Holdings Co., Ltd.",1308,0.03%
Nemetschek SE,NEM,0.03%
Wix.com Ltd.,WIX,0.03%
"CyberAgent, Inc.",4751,0.03%
Incitec Pivot Limited,IPL,0.03%
Nexi S.p.A.,NEXI,0.03%
Acciona SA,ANA,0.03%
Pilbara Minerals Limited,PLS,0.03%
Castellum AB,CAST,0.03%
"SG Holdings Co., Ltd.",9143,0.03%
Tritax Big Box REIT Plc,BBOX,0.03%
ESR Cayman Ltd.,1821,0.03%
Holmen AB Class B,HOLM.B,0.03%
B&M European Value Retail SA,BME,0.03%
UNITE Group plc,UTG,0.03%
TOMRA Systems ASA,TOM,0.03%
Auckland International Airport Limited,AIA,0.03%
GEA Group AG,G1A,0.03%
WH Group Ltd. (HK),288,0.03%
Pan Pacific International Holdings Corporation,7532,0.03%
"Kyowa Kirin Co., Ltd.",4151,0.03%
