VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Getinge AB Class B,GETI.B,0.04%
"Resona Holdings, Inc.",8308,0.04%
Covestro AG,1COV,0.04%
Cameco Corporation,CCO,0.04%
Siemens Energy AG,ENR,0.04%
"Nippon Building Fund, Inc.",8951,0.04%
Telenor ASA,TEL,0.04%
United Utilities Group PLC,UU,0.04%
"Sumitomo Electric Industries, Ltd.",5802,0.04%
"Canadian Tire Corporation, Limited Class A",CTC.A,0.04%
Red Electrica Corp. SA,REE,0.04%
Daiwa Securities Group Inc.,8601,0.04%
"SG Holdings Co., Ltd.",9143,0.04%
HeidelbergCement AG,HEI,0.04%
Misumi Group Inc.,9962,0.04%
Continental AG,CON,0.04%
Henkel AG & Co. KGaA,HEN,0.04%
Melrose Industries PLC,MRO,0.04%
PUMA SE,PUM,0.04%
Bureau Veritas SA,BVI,0.04%
Sartorius Stedim Biotech SA,DIM,0.04%
Kesko Oyj Class B,KESKOB,0.04%
Shimadzu Corporation,7701,0.04%
"Naturgy Energy Group, S.A.",NTGY,0.04%
Umicore,UMI,0.04%
Toyota Tsusho Corp.,8015,0.04%
ARC Resources Ltd.,ARX,0.04%
Northern Star Resources Ltd,NST,0.04%
Ocado Group PLC,OCDO,0.04%
Severn Trent Plc,SVT,0.04%
Dexus,DXS,0.04%
Heineken Holding N.V.,HEIO,0.04%
FinecoBank SpA,FBK,0.04%
Beiersdorf AG,BEI,0.04%
Vivendi SE,VIV,0.04%
Xero Limited,XRO,0.04%
"HMM CO.,LTD",011200,0.04%
Prysmian S.p.A.,PRY,0.04%
Skanska AB Class B,SKA.B,0.04%
"TOKYO GAS Co., Ltd.",9531,0.04%
Insurance Australia Group Limited,IAG,0.04%
